,failed_links
0,https://safecomputing.umich.edu/protect-yourself/scams-fraud/tutoring-overpayment
1,https://safecomputing.umich.edu/protect-yourself/phishing-suspicious-email#If%20You%20Get%20Caught
2,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/ransomware
3,https://safecomputing.umich.edu/?q=train/pre
4,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/look-before-login
5,https://safecomputing.umich.edu/dont-fall-for-phish/
6,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/shared-documents
7,https://safecomputing.umich.edu/be-aware/compromised-accounts/what-do-if-your-account-compromised
8,https://safecomputing.umich.edu/./category/extensions
9,https://safecomputing.umich.edu/Above%20the%20Law
10,https://safecomputing.umich.edu/./detail/fnofimfkfjbmcbjofkifkmjfkpiefjif
11,https://safecomputing.umich.edu/./detail/fnofimfkfjbmcbjofkifkmjfkpiefjif/report
12,https://safecomputing.umich.edu/academics/
13,https://safecomputing.umich.edu/health-medicine/
14,https://safecomputing.umich.edu/tel:+1-734-764-1817
15,https://safecomputing.umich.edu/research/
16,https://safecomputing.umich.edu/schools-colleges/
17,https://safecomputing.umich.edu/about/privacy/#choices
18,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_001.jpg
19,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_004.jpg
20,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_010.jpg
21,https://safecomputing.umich.edu/about/privacy-statement/#coppa
22,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_005.jpg
23,https://safecomputing.umich.edu/alumni/
24,https://safecomputing.umich.edu/about/privacy/
25,https://safecomputing.umich.edu/parents/
26,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_006.jpg
27,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_019.jpg
28,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_023.jpg
29,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_011.jpg
30,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_007.jpg
31,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_024.jpg
32,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_017.jpg
33,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_014.jpg
34,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_012.jpg
35,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_015.jpg
36,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_022.jpg
37,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_026.jpg
38,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_028.jpg
39,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_021.jpg
40,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_027.jpg
41,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_020.jpg
42,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_031.jpg
43,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_030.jpg
44,https://safecomputing.umich.edu/giving/
45,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_032.jpg
46,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_029.jpg
47,https://safecomputing.umich.edu/current-students/
48,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_008.jpg
49,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_018.jpg
50,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_016.jpg
51,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_003.jpg
52,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_009.jpg
53,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_025.jpg
54,https://safecomputing.umich.edu/./detail/u-m-safe-computing-websit/fnofimfkfjbmcbjofkifkmjfkpiefjif/reviews
55,https://safecomputing.umich.edu/./category/extensions/productivity/workflow
56,https://safecomputing.umich.edu/life-at-michigan/
57,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_002.jpg
58,https://safecomputing.umich.edu/about/privacy-statement/
59,https://safecomputing.umich.edu/contact/
60,https://safecomputing.umich.edu/initiatives/
61,https://safecomputing.umich.edu/about/privacy-statement/#eu
62,https://safecomputing.umich.edu/prospective-students/
63,https://safecomputing.umich.edu/faculty-staff/
64,https://safecomputing.umich.edu/athletics/
65,https://safecomputing.umich.edu/copyright/message.php
66,https://safecomputing.umich.edu/protect-the-u/services/network-ips/
67,https://safecomputing.umich.edu/events/dissonance-series/mailing-list.php
68,https://safecomputing.umich.edu/sites/default/files/poster-medicine.png
69,https://safecomputing.umich.edu/sites/default/files/poster-research.png
70,https://safecomputing.umich.edu/sites/default/files/poster-ann-arbor.png
71,https://safecomputing.umich.edu/sites/default/files/poster-dearborn.png
72,https://safecomputing.umich.edu/sites/default/files/poster-flint.png
73,https://safecomputing.umich.edu/about:blank
74,https://safecomputing.umich.edu/protect-the-u/manage-your-workstation/university-owned
75,https://safecomputing.umich.edu/sites/default/files/DuoWebloginTimeline_3.png
76,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-4.jpg
77,https://safecomputing.umich.edu/sites/default/files/TwoCapabilitiesOneGoalEmailSecurityArea1andVirtru_SUMIT2021.pdf
78,https://safecomputing.umich.edu/sites/default/files/ShibbolethIdentityProviderUpgradeTesting.pdf
79,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-5.jpg
80,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-6.jpg
81,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-2.jpg
82,https://safecomputing.umich.edu/sites/default/files/2021-10-20%20Zoom%20Security%20SUMIT%202021%20Presentation%20Slides.pdf
83,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-1.jpg
84,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-11.jpg
85,https://safecomputing.umich.edu/sites/default/files/SUMIT%202021%20-%20What%27s%20New%20with%20MCommunity%20Groups.pdf
86,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-3.jpg
87,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-8.jpg
88,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-7.jpg
89,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-12.jpg
90,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-10.jpg
91,https://safecomputing.umich.edu/sites/default/files/SUMIT2020_DataClassificationPresentation.pdf
92,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 2.jpg
93,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 5.jpg
94,https://safecomputing.umich.edu/sites/default/files/sumit17/sumit-2017-9.jpg
95,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 1.jpg
96,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 7.jpg
97,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 4.jpg
98,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 10.jpg
99,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 8.jpg
100,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 11.jpg
101,https://safecomputing.umich.edu/publications/communication-archive/4585
102,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 9.jpg
103,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 3.jpg
104,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 15.jpg
105,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 12.jpg
106,https://safecomputing.umich.edu/sites/default/files/SUMIT2018_Webpage - 6.jpg
