,failed_links
0,https://safecomputing.umich.edu/protect-yourself/phishing-suspicious-email#If%20You%20Get%20Caught
1,https://safecomputing.umich.edu/protect-yourself/scams-fraud/tutoring-overpayment
2,https://safecomputing.umich.edu/?q=train/pre
3,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/look-before-login
4,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/ransomware
5,https://safecomputing.umich.edu/be-aware/phishing-and-suspicious-email/shared-documents
6,https://safecomputing.umich.edu/be-aware/compromised-accounts/what-do-if-your-account-compromised
7,https://safecomputing.umich.edu/Above%20the%20Law
8,https://safecomputing.umich.edu/./detail/fnofimfkfjbmcbjofkifkmjfkpiefjif/report
9,https://safecomputing.umich.edu/./detail/fnofimfkfjbmcbjofkifkmjfkpiefjif
10,https://safecomputing.umich.edu/./detail/u-m-safe-computing-websit/fnofimfkfjbmcbjofkifkmjfkpiefjif/reviews
11,https://safecomputing.umich.edu/schools-colleges/
12,https://safecomputing.umich.edu/about/privacy/#choices
13,https://safecomputing.umich.edu/./category/extensions/productivity/workflow
14,https://safecomputing.umich.edu/parents/
15,https://safecomputing.umich.edu/./category/extensions
16,https://safecomputing.umich.edu/about/privacy-statement/#eu
17,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_002.jpg
18,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_001.jpg
19,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_017.jpg
20,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_006.jpg
21,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_012.jpg
22,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_011.jpg
23,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_014.jpg
24,https://safecomputing.umich.edu/tel:+1-734-764-1817
25,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_003.jpg
26,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_007.jpg
27,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_008.jpg
28,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_010.jpg
29,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_009.jpg
30,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_022.jpg
31,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_029.jpg
32,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_024.jpg
33,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_026.jpg
34,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_021.jpg
35,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_032.jpg
36,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_028.jpg
37,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_016.jpg
38,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_015.jpg
39,https://safecomputing.umich.edu/sites/default/files/Privacy_Michigan_2020_030.jpg
40,https://safecomputing.umich.edu/current-students/
