,links
0,https://safecomputing.umich.edu
1,https://safecomputing.umich.edu/events
2,https://safecomputing.umich.edu/library
3,https://safecomputing.umich.edu/protect-yourself
4,https://safecomputing.umich.edu/protect-yourself/be-safe-online
5,https://safecomputing.umich.edu/protect-yourself/secure-your-devices
6,https://safecomputing.umich.edu/protect-yourself/protect-your-passwords
7,https://safecomputing.umich.edu/protect-yourself/phishing-scams
8,https://safecomputing.umich.edu/protect-yourself/phishing-scams/ransomware
9,https://safecomputing.umich.edu/protect-yourself/travel-safely-with-technology
10,https://safecomputing.umich.edu/protect-the-u
11,https://safecomputing.umich.edu/protect-the-u/compliance
12,https://safecomputing.umich.edu/protect-the-u/safely-use-sensitive-data
13,https://safecomputing.umich.edu/protect-the-u/protect-research-data
14,https://safecomputing.umich.edu/protect-the-u/manage-um-workstations
15,https://safecomputing.umich.edu/protect-the-u/protect-your-unit
16,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/third-party-vendor-security-compliance
17,https://safecomputing.umich.edu/library/training-education
18,https://safecomputing.umich.edu/protect-privacy
19,https://safecomputing.umich.edu/protect-privacy/privacy-u-m
20,https://safecomputing.umich.edu/protect-privacy/protect-your-privacy
21,https://safecomputing.umich.edu/protect-privacy/engagement
22,https://safecomputing.umich.edu/protect-privacy/resources
23,https://safecomputing.umich.edu/protect-privacy/history-of-privacy-timeline
24,https://safecomputing.umich.edu/protect-privacy/history-of-surveillance-timeline
25,https://safecomputing.umich.edu/report-it-security-incident
26,https://safecomputing.umich.edu/report-it-security-incident/responding-it-security-incident
27,https://safecomputing.umich.edu/report-it-security-incident/roles-and-responsibilities
28,https://safecomputing.umich.edu/report-it-security-incident/what-is-it-security-incident
29,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#8efdebedfbfce7faf7cefbe3e7ede6a0ebeafb
30,https://safecomputing.umich.edu/cdn-cgi/l/email-protection#11627472646378656851647c7872793f747564
31,https://safecomputing.umich.edu/about
32,https://safecomputing.umich.edu/it-security-professionals/security-unit-liaisons
33,https://safecomputing.umich.edu/it-security-professionals
34,https://safecomputing.umich.edu/it-security-professionals/tools-templates
35,https://safecomputing.umich.edu/it-security-professionals/it-policies-compliance
36,https://safecomputing.umich.edu/it-security-professionals/who-can-help-me
37,https://safecomputing.umich.edu/protect-the-u/protect-your-unit/services/user-advocate?nav
38,https://safecomputing.umich.edu/two-factor-authentication
39,https://safecomputing.umich.edu/two-factor-authentication/turn-on-weblogin
40,https://safecomputing.umich.edu/two-factor-authentication/traveling-with-duo
41,https://safecomputing.umich.edu/two-factor-authentication/update-your-settings
42,https://safecomputing.umich.edu/two-factor-authentication/personal-accounts
